Time;Urban delivery, 3.5t;Regional delivery, 3.5t;Long haul, 3.5t;Urban delivery, 7.5t;Regional delivery, 8.5t;Long haul, 7.5t;Urban delivery, 18t;Regional delivery, 18t;Long haul, 18t;Urban delivery, 26t;Regional delivery, 26t;Long haul, 26t;Urban delivery, 40t;Regional delivery, 40t;Long haul, 40t;Urban delivery, 60t;Regional delivery, 60t;Long haul, 60t
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.8;1.8;1.8;1.8;1.8;1.7;1.8;1.8;1.7;1.4;1.4;0.9;1.8;1.8;1.8;1.8;1.8;1.6
4;5.4;5.4;5.4;5.4;5.3;4.9;5.3;5.3;4.9;4.3;4.3;2.9;5.4;5.4;5.4;5.4;5.4;5.0
5;9.0;9.0;9.0;9.0;8.5;8.3;8.5;8.5;8.3;7.6;7.6;5.3;7.8;7.8;7.4;7.8;7.8;6.0
6;11.4;12.6;12.6;11.4;9.8;10.3;9.8;9.8;10.3;10.0;10.9;8.1;9.2;9.2;8.1;9.1;9.1;6.9
7;12.0;15.6;15.5;12.0;9.6;9.7;9.6;9.6;9.7;10.5;12.3;11.4;11.0;11.8;10.0;9.9;9.8;8.7
8;12.8;16.3;15.6;12.8;11.4;9.6;10.8;11.4;9.6;11.0;12.1;12.5;12.0;14.9;12.8;10.9;11.4;9.4
9;15.3;15.8;14.4;15.3;15.0;11.6;13.6;15.0;11.6;13.1;13.6;11.1;11.9;16.3;13.7;12.5;13.3;11.1
10;16.6;17.7;15.9;16.8;18.6;14.8;17.2;18.6;14.8;16.2;16.7;11.6;13.3;18.0;14.5;13.3;14.4;12.6
11;15.8;21.3;19.5;16.3;21.4;18.3;20.6;21.4;18.3;19.4;19.5;13.9;16.6;20.6;17.3;15.1;16.5;12.9
12;17.2;24.9;23.1;17.9;22.0;21.5;22.0;22.0;21.5;22.2;21.7;16.3;18.8;21.6;18.5;17.3;17.8;14.3
13;20.8;27.4;26.7;21.5;21.8;22.6;21.7;21.8;22.6;23.3;22.0;18.6;19.9;22.8;18.7;18.3;18.4;16.1
14;24.4;27.5;27.8;25.1;23.2;21.6;23.1;23.2;21.6;22.8;21.4;20.7;22.1;25.2;20.2;19.8;19.9;16.3
15;27.6;26.9;26.3;28.2;25.6;21.8;26.0;25.6;21.8;23.6;21.9;22.4;24.7;26.1;22.4;21.5;21.4;16.6
